                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.40715,                0.63949,                0.43828,                0.92423,                0.80912,                0.86282,                0.90255,                0.75971,                0.80938,                0.86104,                0.90129,                0.74013,                0.66609,                 1.0889,                0.64582,                 1.2105,             0.00048074,             0.00048074,             0.00048074
                     35,                 0.4086,                0.62508,                 0.4323,                0.93422,                0.77844,                0.85752,                0.88438,                0.75391,                0.77705,                0.85921,                0.88414,                0.73881,                0.66045,                 1.0322,                0.70084,                 1.1835,             0.00047367,             0.00047367,             0.00047367
                     36,                0.39762,                0.61807,                0.41396,                 0.9206,                0.81252,                0.87884,                0.90225,                0.76588,                0.81497,                0.88149,                0.90205,                0.74723,                  0.629,                  1.063,                 0.6375,                 1.1612,              0.0004666,              0.0004666,              0.0004666
                     37,                0.39311,                0.59137,                0.40607,                0.91663,                0.73735,                 0.8721,                0.87565,                0.74276,                0.74292,                 0.8771,                0.88186,                0.72533,                0.67104,                 1.0988,                0.74838,                 1.1918,             0.00045953,             0.00045953,             0.00045953
                     38,                0.39531,                 0.5926,                0.41254,                0.92164,                0.77714,                0.82497,                0.87853,                0.75267,                0.77838,                0.82629,                0.87733,                  0.735,                0.65128,                 1.0648,                0.76638,                 1.1801,             0.00045246,             0.00045246,             0.00045246
                     39,                0.37972,                0.59002,                0.40557,                0.91205,                0.82747,                0.85686,                0.88983,                0.75567,                0.82706,                0.85686,                0.88886,                0.74527,                0.65528,                 1.0416,                0.65305,                 1.1953,             0.00044539,             0.00044539,             0.00044539
                     40,                0.38613,                0.58668,                0.40969,                0.90994,                0.78098,                0.90457,                0.90668,                0.76822,                0.78227,                0.90391,                0.90638,                0.75665,                0.66452,                0.99172,                0.61322,                 1.2215,             0.00043832,             0.00043832,             0.00043832
                     41,                0.37565,                0.56588,                0.40295,                0.90817,                0.80384,                 0.7886,                 0.8641,                0.74774,                0.79252,                0.80384,                0.86407,                0.73067,                0.63687,                 1.0678,                0.79103,                 1.1656,             0.00043126,             0.00043126,             0.00043126
                     42,                0.37822,                0.58752,                0.40582,                0.91992,                0.79251,                0.87873,                0.87936,                0.74964,                0.79324,                0.87714,                0.87802,                0.73066,                0.64476,                 1.0575,                0.71166,                  1.184,             0.00042419,             0.00042419,             0.00042419
                     43,                0.37228,                0.56846,                0.38491,                0.90479,                0.80469,                0.87368,                0.88242,                0.75367,                0.80398,                0.87011,                0.88073,                0.73737,                0.62843,                0.97113,                0.65509,                  1.159,             0.00041712,             0.00041712,             0.00041712
